esr_id;name;latitude;longitude
015400;Ковдор;67.54933167;30.48161125
015504;Полярные Зори;67.3732605;32.48715973
015519;Восточная Губа;67.41060638;32.61083984
015608;Африканда;67.44267273;32.77815628
015612;Хабозеро;67.43166351;32.99613953
015627;Питкуль;67.45955658;33.18715668
015631;Апатиты 1;67.56429291;33.36981583
015646;1268 км;67.6016922;33.37147903
015650;Апатиты-Сортировочная;67.54772186;33.39494705
015716;3 км;67.57054138;33.41749191
015720;Нива;67.38118744;32.54050064
015735;7 км;67.56421661;33.49764633
015740;12 км;67.55541992;33.60768127
015805;Титан;67.56137848;33.62499237
016009;Апатиты-2;67.59225464;33.42045975
016013;1256 км;67.52565765;33.38106918
016121;Хибины;67.67337799;33.21194839
016136;Нефелиновые Пески;67.76690674;33.18967056
016140;Имандра;67.8522644;33.25865173
016155;1297 км;67.81730652;33.20023346
016210;1303 км;67.87563324;33.29347229
016225;Рудный;67.94339752;33.33468246
016231;Куна;67.99667358;33.39471054
016244;Ягельный Бор;68.04699707;33.36455536
016259;1333 км;68.10601807;33.31924438
016308;Оленегорск;68.13611603;33.31286621
016314;6 км;68.08947754;33.27084351
016329;12 км;68.04249573;33.21574402
016333;16 км;68.02867889;33.14848328
016348;25 км;67.98519897;32.98561478
016352;27 км;67.96859741;32.94327545
016403;Мончегорск;67.95163727;32.87471008
016600;Лапландия;68.27259827;33.32600403
016627;Пулозеро;68.35838318;33.29750824
016634;1340 км;68.20334625;33.3311348
016719;Тайбола;68.43496704;33.34758759
016738;1391 км;68.57809448;33.17561722
016742;Кица;68.51278687;33.18435287
016757;Лопарская;68.63661957;33.21894836
016761;1381 км;68.46886444;33.19729996
016812;1410 км;68.69873047;33.1228447
016827;1417 км;68.73749542;33.13491821
016831;Магнетиты;68.67992401;33.12649155
016916;1425 км;68.79421234;33.09876633
016920;Выходной;68.83666992;33.08206558
016935;1434 км;68.84741211;33.0502243
016946;1437 км;68.87870789;33.034832
016954;Шонгуй;68.75344086;33.16016006
017001;Кола;68.88895416;33.05109406
017016;9 км;68.84831238;32.9320488
017035;1439 км;68.90068054;33.06226349
017041;1441 км;68.9151001;33.06347275
017054;1443 км;68.92475128;33.05158234
017073;1446 км;68.94907379;33.04384232
017088;1448 км;68.96704102;33.0635643
017105;Мурмаши;68.81989288;32.81881332
017118;Тулома;68.83543396;32.78437042
017139;54 км;69.00197601;32.22075653
017143;61 км;69.05466461;32.17777634
017158;23 км;68.84860229;32.68978882
017302;Пяйве;68.96932983;32.45413589
017410;75 км;69.10163116;31.94211388
017425;85 км;69.1339798;31.80031967
017437;90 км;69.15981293;31.72569656
017444;Моккет;69.18934631;31.69349289
017459;Титовка;69.26817322;31.24523163
017463;101 км;69.20045471;31.5698967
017478;109 км;69.21392822;31.38901329
017482;Нял;69.07833862;32.12320709
017904;Луостари;69.39984894;31.10557938
017919;Семужная;69.38379669;30.99162483
017923;5 км;69.43286133;31.12463951
018023;Печенга;69.50941467;31.16312027
018108;Заполярная;69.4080658;30.79452324
018201;Никель-Мурманский;69.42014313;30.25650215
018409;Мурманск;68.97197723;33.06923676
018413;2 км;68.98694611;33.06925583
018428;3 км;68.9947052;33.05777359
018432;4 км;67.33569336;32.43885422
018447;5 км;69.0107193;33.08005905
018606;Комсомольск-Мурманский;69.01953125;33.09741592
018818;Сафоново-Мурманское;69.04010773;33.28680038
019007;Ваенга;69.05487061;33.37707901
020004;Выборг;60.71576309;28.75189209
020019;2 км;60.71714783;28.77988434
020038;Пальцево;60.76356125;28.88373756
020042;12 км;60.76984024;28.89940262
020057;13 км;60.77270126;28.91271973
020061;Гвардейское;60.7987175;28.95726395
020076;Пионерлагерь;60.80451965;28.95234489
020080;21 км;60.83449173;28.95010757
020201;Ермилово;60.36930847;28.77464867
020305;Приморск;60.36528778;28.62993431
020310;Бор;60.41981888;28.67873192
020409;Прибылово;60.45278931;28.71517181
020502;Советский;60.5285759;28.69012642
020517;Попово;60.58598709;28.71549797
020521;Матросово;60.60957718;28.74501419
020536;Соколинское;60.65351868;28.76625824
020610;Пихтовая;60.5830574;28.68438339
020625;Щербаково;60.59176636;28.64811897
020803;Кирилловское;60.46739197;29.28494072
020818;Лейпясуо;60.55157852;29.15485954
020907;Гаврилово;60.5910759;29.04432487
020911;Лебедевка;60.62778473;28.95620918
020926;117 км;60.64419556;28.91805267
020930;Лазаревка;60.69051743;28.81615639
021007;Таммисуо;60.73270798;28.80540657
021204;Верхне-Черкасово;60.66047668;28.88162994
021312;Кравцово;60.77313614;28.57383537
021327;158 км;59.7645607;32.8563118
021331;Лужайка;60.80596924;28.47686386
021346;144 км;60.78515244;28.53927231
021505;Пригородная;60.75214386;28.65021706
021609;Возрождение;60.85997772;28.94752502
021613;Ханнила;60.91891861;28.97213173
021628;Никифоровское;60.93809128;29.00465584
021632;38 км;60.96039963;29.07606125
021702;Каменногорск;60.9619751;29.1083889
